ID,AGE_BAND,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,RISK_SCORE,RISK_TIER,PROXY_PREMIUM,ESTIMATED_CLAIM_COST,UNDERWRITING_MARGIN,PRICING_STATUS
569520,65+,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,UPPER CLASS,0.629,1,AFTER 2015,0,1,10238,12000,SEDAN,0,0,0,0,4,Medium Risk,680,0,680,Profitable
750365,16-25,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.3578,0,BEFORE 2015,0,0,10238,16000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
199901,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.4931,1,BEFORE 2015,0,0,10238,11000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
478866,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.206,1,BEFORE 2015,0,1,32765,11000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
731664,26-39,MALE,MAJORITY,10-19Y,NONE,WORKING CLASS,0.3884,1,BEFORE 2015,0,0,32765,12000,SEDAN,2,0,1,1,7,Medium Risk,830,3500,-2670,Underpriced
877557,40-64,FEMALE,MAJORITY,20-29Y,HIGH SCHOOL,UPPER CLASS,0.6191,1,AFTER 2015,0,1,10238,13000,SEDAN,3,0,3,0,15,High Risk,950,0,950,Profitable
930134,65+,MALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.4929,0,AFTER 2015,1,1,10238,13000,SEDAN,7,0,3,0,23,High Risk,1250,0,1250,Profitable
461006,26-39,FEMALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.4687,0,AFTER 2015,0,1,10238,14000,SEDAN,0,0,0,1,4,Medium Risk,800,3500,-2700,Underpriced
68366,40-64,FEMALE,MAJORITY,20-29Y,UNIVERSITY,WORKING CLASS,0.5218,0,BEFORE 2015,1,0,10238,13000,SEDAN,0,0,0,0,0,Low Risk,350,0,350,Profitable
445911,40-64,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,UPPER CLASS,0.5615,1,BEFORE 2015,0,1,32765,11000,SEDAN,0,0,0,1,4,Medium Risk,700,3500,-2800,Underpriced
